movie_id,title,release_date,decade,genre
953,Madagascar,2005-05-25,2000,Comedy
9655,She's the Man,2006-03-17,2000,Comedy
425,Ice Age,2002-03-14,2000,Comedy
10330,Freaky Friday,2003-08-05,2000,Comedy
18240,The Proposal,2009-06-02,2000,Comedy
9398,Zoolander,2001-09-28,2000,Comedy
1593,Night at the Museum,2006-12-20,2000,Comedy
1824,50 First Dates,2004-02-13,2000,Comedy
11688,The Emperor's New Groove,2000-12-15,2000,Comedy
38,Eternal Sunshine of the Spotless Mind,2004-03-19,2000,Drama
1359,American Psycho,2000-04-13,2000,Drama
16869,Inglourious Basterds,2009-08-02,2000,Drama
141,Donnie Darko,2001-01-19,2000,Drama
773,Little Miss Sunshine,2006-07-26,2000,Drama
11036,The Notebook,2004-06-25,2000,Drama
4348,Pride & Prejudice,2005-09-16,2000,Drama
640,Catch Me If You Can,2002-12-16,2000,Drama
641,Requiem for a Dream,2000-10-06,2000,Drama
8966,Twilight,2008-11-20,2000,Drama
142,Brokeback Mountain,2005-10-22,2000,Drama
1124,The Prestige,2006-10-17,2000,Drama
1018,Mulholland Drive,2001-06-06,2000,Drama
7345,There Will Be Blood,2007-12-26,2000,Drama
1422,The Departed,2006-10-04,2000,Drama
843,In the Mood for Love,2000-09-29,2000,Drama
423,The Pianist,2002-09-17,2000,Drama
598,City of God,2002-08-30,2000,Drama
11423,Memories of Murder,2003-04-25,2000,Drama
508,Love Actually,2003-09-07,2000,Drama
9428,The Royal Tenenbaums,2001-10-05,2000,Drama
80,Before Sunset,2004-06-16,2000,Drama
787,Mr. & Mrs. Smith,2005-06-07,2000,Drama
1417,Pan's Labyrinth,2006-10-11,2000,Drama
786,Almost Famous,2000-09-15,2000,Drama
14926,Uptown Girls,2003-08-15,2000,Drama
1887,Marie Antoinette,2006-05-24,2000,Drama
8051,Punch-Drunk Love,2002-10-11,2000,Drama
1402,The Pursuit of Happyness,2006-12-14,2000,Drama
11171,Mysterious Skin,2005-03-30,2000,Drama
18239,The Twilight Saga: New Moon,2009-11-18,2000,Drama
4347,Atonement,2007-02-27,2000,Drama
4922,The Curious Case of Benjamin Button,2008-12-25,2000,Drama
634,Bridget Jones's Diary,2001-04-13,2000,Drama
14574,The Boy in the Striped Pyjamas,2008-05-07,2000,Drama
11023,Thirteen,2003-08-20,2000,Drama
8358,Cast Away,2000-12-22,2000,Drama
5915,Into the Wild,2007-09-21,2000,Drama
1391,Y Tu Mamá También,2001-06-08,2000,Drama
824,Moulin Rouge!,2001-05-18,2000,Drama
324857,Spider-Man: Into the Spider-Verse,2018-12-06,2010,Action
27205,Inception,2010-07-15,2010,Action
299536,Avengers: Infinity War,2018-04-25,2010,Action
299534,Avengers: Endgame,2019-04-24,2010,Action
339403,Baby Driver,2017-06-28,2010,Action
70160,The Hunger Games,2012-03-12,2010,Action
22538,Scott Pilgrim vs. the World,2010-08-12,2010,Action
118340,Guardians of the Galaxy,2014-07-30,2010,Action
284054,Black Panther,2018-02-13,2010,Action
293660,Deadpool,2016-02-09,2010,Action
315635,Spider-Man: Homecoming,2017-07-05,2010,Action
24428,The Avengers,2012-04-25,2010,Action
76341,Mad Max: Fury Road,2015-05-13,2010,Action
101299,The Hunger Games: Catching Fire,2013-11-15,2010,Action
429617,Spider-Man: Far From Home,2019-06-28,2010,Action
271110,Captain America: Civil War,2016-04-27,2010,Action
374720,Dunkirk,2017-07-19,2010,Action
283995,Guardians of the Galaxy Vol. 2,2017-04-19,2010,Action
245891,John Wick,2014-10-22,2010,Action
100402,Captain America: The Winter Soldier,2014-03-20,2010,Action
1930,The Amazing Spider-Man,2012-06-23,2010,Action
284052,Doctor Strange,2016-10-25,2010,Action
99861,Avengers: Age of Ultron,2015-04-22,2010,Action
140607,Star Wars: The Force Awakens,2015-12-15,2010,Action
1771,Captain America: The First Avenger,2011-07-22,2010,Action
383498,Deadpool 2,2018-05-15,2010,Action
330459,Rogue One: A Star Wars Story,2016-12-14,2010,Action
10138,Iron Man 2,2010-04-28,2010,Action
131634,The Hunger Games: Mockingjay - Part 2,2015-11-18,2010,Action
198663,The Maze Runner,2014-09-10,2010,Action
102899,Ant-Man,2015-07-14,2010,Action
181808,Star Wars: The Last Jedi,2017-12-13,2010,Action
299537,Captain Marvel,2019-03-06,2010,Action
68721,Iron Man 3,2013-04-18,2010,Action
290250,The Nice Guys,2016-05-15,2010,Action
102382,The Amazing Spider-Man 2,2014-04-16,2010,Action
10195,Thor,2011-04-21,2010,Action
207703,Kingsman: The Secret Service,2015-01-24,2010,Action
297761,Suicide Squad,2016-08-03,2010,Action
396535,Train to Busan,2016-07-20,2010,Action
496243,Parasite,2019-05-30,2010,Comedy
106646,The Wolf of Wall Street,2013-12-25,2010,Comedy
546554,Knives Out,2019-11-27,2010,Comedy
120467,The Grand Budapest Hotel,2014-02-26,2010,Comedy
391713,Lady Bird,2017-09-01,2010,Comedy
150540,Inside Out,2015-06-17,2010,Comedy
515001,Jojo Rabbit,2019-10-18,2010,Comedy
